Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
2015,Atlanta Motor Speedway,intermediate,43,1,307.8139534883721,92.0,325.0,13,1
2002,Darlington Raceway,intermediate,86,2,298.3488372093023,12.0,367.0,33,2
2004,Pocono Raceway,intermediate,86,2,164.27906976744185,8.0,200.0,43,1
1951,Daytona Beach & Road Course,road course,54,1,39.0,39.0,39.0,1,1
1958,New Bradford Speedway,short,21,1,100.33333333333333,0.0,150.0,2,1
2010,Dover International Speedway,intermediate,86,2,337.19767441860466,29.0,400.0,29,2
2025,World Wide Technology Raceway at Gateway,intermediate,36,1,228.38888888888889,35.0,240.0,29,1
1987,Pocono Raceway,intermediate,80,2,156.85,11.0,200.0,18,2
1997,Charlotte Motor Speedway,intermediate,85,2,298.8588235294118,47.0,334.0,23,2
1956,Road America,road course,26,1,50.11538461538461,1.0,63.0,5,1
1989,Rockingham Speedway,intermediate,82,2,424.4878048780488,37.0,492.0,9,2
1976,Riverside International Raceway,road course,70,2,96.2,6.0,191.0,5,1
1967,Charlotte Motor Speedway,intermediate,88,2,235.875,2.0,400.0,4,2
1957,Norfolk Speedway,short,23,1,179.2608695652174,29.0,250.0,1,1
2006,Atlanta Motor Speedway,intermediate,86,2,306.59302325581393,29.0,325.0,29,2
1967,Hickory Speedway,short,56,2,177.71428571428572,2.0,250.0,2,1
2003,Sonoma Raceway,road course,43,1,106.46511627906976,68.0,110.0,29,1
1959,Greenville-Pickens Speedway,short,44,2,142.86363636363637,16.0,200.0,4,2
2014,Daytona International Speedway,intermediate,86,2,139.61627906976744,19.0,200.0,37,2
1998,Daytona International Speedway,intermediate,86,2,163.84883720930233,19.0,200.0,37,2
2018,Dover International Speedway,intermediate,77,2,378.7142857142857,20.0,404.0,28,2
2007,Richmond Raceway,intermediate,86,2,374.6860465116279,130.0,400.0,46,1
2012,Richmond Raceway,intermediate,86,2,344.19767441860466,19.0,400.0,30,2
